,Weight
LR_breast_cancer_FOLD1,0.0
LR_breast_cancer_FOLD0,0.0
LR_breast_cancer_FOLD3,0.200381515775
LR_breast_cancer_FOLD2,0.199138374486
LR_breast_cancer_FOLD4,0.0
KNN_breast_cancer_FOLD4,0.0
KNN_breast_cancer_FOLD1,0.0
KNN_breast_cancer_FOLD0,0.0
KNN_breast_cancer_FOLD3,0.0
KNN_breast_cancer_FOLD2,0.0
Decision_Tree_breast_cancer_FOLD4,0.0
Decision_Tree_breast_cancer_FOLD1,0.0
Decision_Tree_breast_cancer_FOLD0,0.0
Decision_Tree_breast_cancer_FOLD3,0.0
Decision_Tree_breast_cancer_FOLD2,0.0
GaussianNB_breast_cancer_FOLD4,0.0
GaussianNB_breast_cancer_FOLD2,0.197873799726
GaussianNB_breast_cancer_FOLD3,0.0
GaussianNB_breast_cancer_FOLD0,0.0
GaussianNB_breast_cancer_FOLD1,0.0
MLP_breast_cancer_FOLD4,0.0
MLP_breast_cancer_FOLD3,0.0
MLP_breast_cancer_FOLD2,0.0
MLP_breast_cancer_FOLD1,0.0
MLP_breast_cancer_FOLD0,0.0
SVM_breast_cancer_FOLD4,0.0
SVM_breast_cancer_FOLD2,0.0
SVM_breast_cancer_FOLD3,0.202096193416
SVM_breast_cancer_FOLD0,0.0
SVM_breast_cancer_FOLD1,0.200510116598
